Id,Label,Datatype,Enumeration
participantidentifier,Participant Identifier,string,
otc_result_1,OTC RESULT Study Day 1,string,
smp_nausea_1,"Feeling sick to your stomach, nausea, vomiting, or diarrhea Study Day 1",boolean,"""1"" =[Checked]"
smp_fever_1,Fever or Chills Study Day 1,boolean,"""1"" =[Checked]"
smp_headache_1,Headache Study Day 1,boolean,"""1"" =[Checked]"
smp_body_aches_1,Muscle or body aches Study Day 1,boolean,"""1"" =[Checked]"
smp_loss_smell_1,New loss of taste or smell Study Day 1,boolean,"""1"" =[Checked]"
smp_rash_1,Rash Study Day 1,boolean,"""1"" =[Checked]"
smp_sob_1,"Shortness of breath, difficulty breathing or chest discomfort Study Day 1",boolean,"""1"" =[Checked]"
smp_other_1,Other Symptoms Study Day 1,boolean,"""1"" =[Checked]"
smp_none_1,No Symptoms Study Day 1,boolean,"""1"" =[Checked]"
smp_abd_pain_1,Abdominal pain Study Day 1,boolean,"""1"" =[Checked]"
smp_runny_nose_1,"Congestion, sore throat, runny nose Study Day 1",boolean,"""1"" =[Checked]"
smp_cough_1,Cough Study Day 1,boolean,"""1"" =[Checked]"
smp_fatigue_1,Fatigue Study Day 1,boolean,"""1"" =[Checked]"
closecontactwhen_1,When were you in close contact with someone who tested positive for COVID-19? Study Day 1,string,
closecontactduration_1,How much time did you spend within 6 feet of the person who tested positive for the COVID-19 virus? Study Day 1,string,
contactduration_1,How much time did you spend within 6 feet of the person who tested positive for the COVID-19 virus? Study Day 1,string,
closecontacthousehold_1,Do you live in the same household as the person who tested positive for the COVID-19 virus? Study Day 1,string,
expertreadresult_1,Coordinator Interpretation of OTC Test Study Day 1,string,
nausea_starttime_1,"Feeling sick to your stomach, vomiting Day Symptoms Started Study Day 1",string,"0=[Today] |""1""=[1 day ago]|""2""=[2 days ago]|""3""=[3 days ago]|""4""=[4 days ago]|""5""=[5 days ago]|""6""=[6 days ago]|""7""=[7 days ago]|""8-14""=[8-14 days ago]|""14+""=[More than 14 days ago]"
cough_starttime_1,Cough Day Symptoms Started Study Day 1,string,"0=[Today] |""1""=[1 day ago]|""2""=[2 days ago]|""3""=[3 days ago]|""4""=[4 days ago]|""5""=[5 days ago]|""6""=[6 days ago]|""7""=[7 days ago]|""8-14""=[8-14 days ago]|""14+""=[More than 14 days ago]"
fever_starttime_1,Fever  Day Symptoms Started Study Day 1,string,"0=[Today] |""1""=[1 day ago]|""2""=[2 days ago]|""3""=[3 days ago]|""4""=[4 days ago]|""5""=[5 days ago]|""6""=[6 days ago]|""7""=[7 days ago]|""8-14""=[8-14 days ago]|""14+""=[More than 14 days ago]"
congestion_starttime_1,"Congestion, sore throat, runny nose Day Symptoms Started Study Day 1",string,"0=[Today] |""1""=[1 day ago]|""2""=[2 days ago]|""3""=[3 days ago]|""4""=[4 days ago]|""5""=[5 days ago]|""6""=[6 days ago]|""7""=[7 days ago]|""8-14""=[8-14 days ago]|""14+""=[More than 14 days ago]"
losssmelltaste_starttime_1,New loss of taste or smell Day Symptoms Started Study Day 1,string,"0=[Today] |""1""=[1 day ago]|""2""=[2 days ago]|""3""=[3 days ago]|""4""=[4 days ago]|""5""=[5 days ago]|""6""=[6 days ago]|""7""=[7 days ago]|""8-14""=[8-14 days ago]|""14+""=[More than 14 days ago]"
headache_starttime_1,Headache Day Symptoms Started Study Day 1,string,"0=[Today] |""1""=[1 day ago]|""2""=[2 days ago]|""3""=[3 days ago]|""4""=[4 days ago]|""5""=[5 days ago]|""6""=[6 days ago]|""7""=[7 days ago]|""8-14""=[8-14 days ago]|""14+""=[More than 14 days ago]"
fatigue_starttime_1,Fatigue Day Symptoms Started Study Day 1,string,"0=[Today] |""1""=[1 day ago]|""2""=[2 days ago]|""3""=[3 days ago]|""4""=[4 days ago]|""5""=[5 days ago]|""6""=[6 days ago]|""7""=[7 days ago]|""8-14""=[8-14 days ago]|""14+""=[More than 14 days ago]"
other_starttime_1,Other Symptoms Day Symptoms Started Study Day 1,string,"0=[Today] |""1""=[1 day ago]|""2""=[2 days ago]|""3""=[3 days ago]|""4""=[4 days ago]|""5""=[5 days ago]|""6""=[6 days ago]|""7""=[7 days ago]|""8-14""=[8-14 days ago]|""14+""=[More than 14 days ago]"
conjunctivitis_starttime_1,Conjuctivitis  Day Symptoms Started Study Day 1,string,"0=[Today] |""1""=[1 day ago]|""2""=[2 days ago]|""3""=[3 days ago]|""4""=[4 days ago]|""5""=[5 days ago]|""6""=[6 days ago]|""7""=[7 days ago]|""8-14""=[8-14 days ago]|""14+""=[More than 14 days ago]"
