question_id,variable_name,label,datatype,value_constraints
"",id_participant_external,Participant identifier,string,
"",time_zone,Local time zone of participant,string,"['US/Eastern', 'US/Central', 'US/Mountain', 'US/Pacific', 'US/Arizona', 'US/Alaska', 'US/Hawaii']"
"",survey_start_time,UTC survey start time,string,
"",survey_end_time,UTC survey end time,string,
"",dt,UTC survey date,date,
"",total_survey_time,Time taken to complete survey,double,
0.0,has_health_insurance,Are you currently covered by health insurance?,string,"['Yes', 'No', 'I dont know Im not sure']"
0.0,healthcare_worker__working,"Are you or one of your household members a healthcare worker (such as a doctor, dentist, nurse, nurse’s aid, paramedic, physician’s assistant, home healthcare aid, hospital worker, pharmacist, therapist or other type of healthcare worker)?",string,"[nan, 'I am and I am currently working with patients in person']"
0.0,healthcare_worker__not_working,"Are you or one of your household members a healthcare worker (such as a doctor, dentist, nurse, nurse’s aid, paramedic, physician’s assistant, home healthcare aid, hospital worker, pharmacist, therapist or other type of healthcare worker)?",string,"[nan, 'I am but I am NOT currently working']"
0.0,healthcare_worker__only_telemedicine,"Are you or one of your household members a healthcare worker (such as a doctor, dentist, nurse, nurse’s aid, paramedic, physician’s assistant, home healthcare aid, hospital worker, pharmacist, therapist or other type of healthcare worker)?",string,"[nan, 'I am but I have switched entirely to providing telemedicine']"
0.0,not_healthcare_worker,"Are you or one of your household members a healthcare worker (such as a doctor, dentist, nurse, nurse’s aid, paramedic, physician’s assistant, home healthcare aid, hospital worker, pharmacist, therapist or other type of healthcare worker)?",string,"['No one in my household is a healthcare worker', nan]"
0.0,healthcare_worker__family_member_working,"Are you or one of your household members a healthcare worker (such as a doctor, dentist, nurse, nurse’s aid, paramedic, physician’s assistant, home healthcare aid, hospital worker, pharmacist, therapist or other type of healthcare worker)?",string,"[nan, 'One of my household members is and they are currently working with patients in person']"
0.0,healthcare_worker__family_member_not_working,"Are you or one of your household members a healthcare worker (such as a doctor, dentist, nurse, nurse’s aid, paramedic, physician’s assistant, home healthcare aid, hospital worker, pharmacist, therapist or other type of healthcare worker)?",string,"[nan, 'One of my household members is but they are NOT currently working']"
0.0,common_emotions__angry,"Below is a list of common emotions. For each adjective, select the response that best indicates how accurately that adjective describes how you have felt in the last few weeks.",string,"[nan, 'Moderately accurate', 'Not at all accurate', 'Quite a bit accurate', 'A little accurate', 'Extremely accurate']"
0.0,common_emotions__calm,"Below is a list of common emotions. For each adjective, select the response that best indicates how accurately that adjective describes how you have felt in the last few weeks.",string,"[nan, 'A little accurate', 'Moderately accurate', 'Not at all accurate', 'Extremely accurate', 'Quite a bit accurate']"
0.0,common_emotions__happy,"Below is a list of common emotions. For each adjective, select the response that best indicates how accurately that adjective describes how you have felt in the last few weeks.",string,"[nan, 'Quite a bit accurate', 'A little accurate', 'Not at all accurate', 'Moderately accurate', 'Extremely accurate']"
0.0,common_emotions__hopeful,"Below is a list of common emotions. For each adjective, select the response that best indicates how accurately that adjective describes how you have felt in the last few weeks.",string,"[nan, 'Moderately accurate', 'A little accurate', 'Quite a bit accurate', 'Not at all accurate', 'Extremely accurate']"
0.0,common_emotions__lonely,"Below is a list of common emotions. For each adjective, select the response that best indicates how accurately that adjective describes how you have felt in the last few weeks.",string,"[nan, 'Extremely accurate', 'Moderately accurate', 'Not at all accurate', 'Quite a bit accurate', 'A little accurate']"
0.0,common_emotions__motivated,"Below is a list of common emotions. For each adjective, select the response that best indicates how accurately that adjective describes how you have felt in the last few weeks.",string,"[nan, 'Not at all accurate', 'Moderately accurate', 'Extremely accurate', 'A little accurate', 'Quite a bit accurate']"
0.0,common_emotions__sad,"Below is a list of common emotions. For each adjective, select the response that best indicates how accurately that adjective describes how you have felt in the last few weeks.",string,"['A little accurate', 'Not at all accurate', 'Extremely accurate', 'Quite a bit accurate', 'Moderately accurate', nan]"
0.0,common_emotions__scared,"Below is a list of common emotions. For each adjective, select the response that best indicates how accurately that adjective describes how you have felt in the last few weeks.",string,"[nan, 'A little accurate', 'Quite a bit accurate', 'Not at all accurate', 'Moderately accurate', 'Extremely accurate']"
0.0,common_emotions__tired,"Below is a list of common emotions. For each adjective, select the response that best indicates how accurately that adjective describes how you have felt in the last few weeks.",string,"['Quite a bit accurate', nan, 'Moderately accurate', 'Extremely accurate', 'A little accurate', 'Not at all accurate']"
0.0,common_emotions__worried,"Below is a list of common emotions. For each adjective, select the response that best indicates how accurately that adjective describes how you have felt in the last few weeks.",string,"['Moderately accurate', nan, 'Quite a bit accurate', 'A little accurate', 'Not at all accurate', 'Extremely accurate']"
0.0,received_flu_vaccine,Did you receive the flu vaccine (sometimes called the flu shot) this season (September 2019 to today)?,string,"['No', 'Yes', 'I dont know cant remember']"
0.0,essential_sector,Do you currently work in one of the following essential sectors?,string,
0.0,has_telemedicine_coverage,Do you have health insurance coverage for telemedicine visits?,string,"[nan, 'Yes my health insurance covers some of the cost of telemedicine with a copay', 'Yes my health insurance covers the entire cost of telemedicine no copay', 'I dont know Im not sure', 'N A I have access to telemedicine at no cost to me', 'No I am responsible for paying for telemedicine fully out of pocket']"
0.0,employment_status_income_change,"Has your employment status or income changed as a result of the coronavirus outbreak?
",string,"['Yes my employment status or income has changed in another way', 'No my employment status and income have not changed', 'Yes I was laid off temporarily until my place of work reopens', 'Yes I have experienced a loss of self employment income', 'Yes I am still working but my hours have been reduced', 'Yes I was laid off permanently']"
0.0,number_in_household,"How many people currently live in your household (including yourself)? Include roommates, or if you are living in a group home, the total number of people you share common living spaces with.",double,
0.0,telemedicine_provider,Please select what type of telemedicine provider you have access to.,string,"[nan, 'My regular doctor or someone from my regular doctors office', 'An on demand clinician from a telemedicine app or service and not someone from my regular doctors office', 'I dont know Im not sure']"
