Id,Label,Datatype,source_file,source_directory
participantidentifier,Participant Identifier,string,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
alcoholuse,Alchol Use,string,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
eciguse,E Cigarette Use,string,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
educationlevel,Education Level,string,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
employmentstatus,Employment Status,string,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
healthinsurance,Health Insurance,string,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
height_cm,Height in cm,decimal,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
hispanicorigin,Hispanic or Latino,string,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
limitdailyactivity,Have these problems limited your daily activity?,string,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
nicotineuse,Nicotine Use,string,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
pregnant,Pregnant,string,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
visiondifficulty,Vision Difficulty,string,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
weight_kg,Weight in kg,decimal,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
cond_hypertension,Hypertension,boolean,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
cond_immun_compromised,Immuno-compromised,boolean,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
cond_diabetes,Diabetes,boolean,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
cond_ckd,CKD,boolean,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
cond_cancer,Cancer,boolean,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
cond_cvd,CVD,boolean,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
cond_asthma,Asthma,boolean,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
cond_copd,COPD,boolean,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
cond_chronic_lung_disease,ChronicLungDisease,boolean,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
cond_depression,Depression,boolean,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
cond_alcohol_subs,AlcoholOrSubstanceUseDisorder,boolean,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
cond_mental_health,MentalHealthDisorder,boolean,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
cond_iv_drug,IntravenousDrugUse,boolean,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
cond_other,CurrentConditionsOther,boolean,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
cond_none,None,boolean,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
race_noans,Race: NoAnswer,boolean,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
race_oth,Race: Some other race,boolean,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
race_nativeam,Race: American Indian or Alaska Native,boolean,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
research_test,Study Number,string,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
smp_fever,Fever or chills,boolean,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
smp_cough,Cough,boolean,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
smp_sob,"Shortness of breath, difficulty breathing or chest discomfort",boolean,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
smp_fatigue,Fatigue,boolean,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
smp_body_aches,Muscle or body aches,boolean,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
smp_headache,Headache,boolean,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
smp_loss_smell,New loss of taste or smell,boolean,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
smp_nausea,"Feeling sick to your stomach, nausea, vomiting, or diarrhea",boolean,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
smp_runny_nose,"Congestion, sore throat, runny nose",boolean,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
smp_abd_pain,Abdominal Pain,boolean,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
smp_rash,Rash,boolean,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
smp_other,Other,boolean,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
smp_none,None,boolean,dictionary_TAH_origcopy_2023-03-30_v1.csv,phs003026
