Id,Label,Terms,Datatype,pattern,Unit,Enumeration,Additional Missing Value Codes,source_file,source_directory
alcohol_date_mdy,Date of Alcohol/Tobacco Use Collection  MM/DD/YYYY,,date,,,,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",20230607_project15_DICT_transformcopy_v1.csv,phs002704
consent_given,Is consent required for this study?,,int,,,"""0""=[No] |""1""=[Yes] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",20230607_project15_DICT_transformcopy_v1.csv,phs002704
consent_ident,"I agree to let the Duke Clincal Research Institute collect the following identifiable information: name, address, contact information, and date of birth.",,int,,,"""0""=[No] |""1""=[Yes] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",20230607_project15_DICT_transformcopy_v1.csv,phs002704
consent_recontact,I agree to be contacted for future research.,,int,,,"""0""=[No] |""1""=[Yes] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",20230607_project15_DICT_transformcopy_v1.csv,phs002704
consent_zip_2,I agree to let the Duke Clinical Research Institute collect my zip code.,,int,,,"""0""=[No] |""1""=[Yes] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",20230607_project15_DICT_transformcopy_v1.csv,phs002704
consentdt_mdy,Date of Consent     MM/DD/YYYY,,date,,,,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",20230607_project15_DICT_transformcopy_v1.csv,phs002704
cov_pan_chal_hlth_2,Getting the health care I need (including for mental health),,int,,,"""0""=[No, not a challenge] |""1""=[Yes, a minor challenge] |""2""=[Yes, this is a major challenge] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",20230607_project15_DICT_transformcopy_v1.csv,phs002704
cov_pan_chal_med_2,Getting the medicine I need,,int,,,"""0""=[No, not a challenge] |""1""=[Yes, a minor challenge] |""2""=[Yes, this is a major challenge] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",20230607_project15_DICT_transformcopy_v1.csv,phs002704
cov_pan_chlng_trans_2,"Getting to where I need to go ",,int,,,"""0""=[No, not a challenge] |""1""=[Yes, a minor challenge] |""2""=[Yes, this is a major challenge] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",20230607_project15_DICT_transformcopy_v1.csv,phs002704
cov_tst_mthd_2,"How were you tested for your most recent test? ",,int,,,"""1""=[Nasal Swab] |""2""=[Throat Swab] |""3""=[Blood Sample] |""4""=[Saliva] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",20230607_project15_DICT_transformcopy_v1.csv,phs002704
covid_pandemic_challenges_abod_2,Having a place to stay/live,,int,,,"""0""=[No, not a challenge] |""1""=[Yes, a minor challenge] |""2""=[Yes, this is a major challenge] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",20230607_project15_DICT_transformcopy_v1.csv,phs002704
covid_pandemic_challenges_food_2,Getting enough food to eat,,int,,,"""0""=[No, not a challenge] |""1""=[Yes, a minor challenge] |""2""=[Yes, this is a major challenge] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",20230607_project15_DICT_transformcopy_v1.csv,phs002704
covid_pandemic_challenges_wate_2,Having clean water to drink,,int,,,"""0""=[No, not a challenge] |""1""=[Yes, a minor challenge] |""2""=[Yes, this is a major challenge] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",20230607_project15_DICT_transformcopy_v1.csv,phs002704
covid_test_approval,Quality and Regulatory,,int,,,"""1""=[CLIA/CP certified] |""2""=[CLIA Waiver] |""3""=[FDA authorized (EUA)] |""4""=[FDA cleared] |""5""=[LDT] |""90""=[Other (specify)] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",20230607_project15_DICT_transformcopy_v1.csv,phs002704
covid_test_collect_datetime,Date and time specimen collected,,datetime,,,,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",20230607_project15_DICT_transformcopy_v1.csv,phs002704
covid_test_collection_setting,Test Collection Setting,,int,,,"""1""=[Clinic] |""2""=[Drive-through] |""3""=[Home] |""4""=[Mobile unit] |""5""=[Lab] |""6""=[Mail-in] |""7""=[Community location (e.g., church, school, community center, etc.)] |""90""=[Other, Specify] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",20230607_project15_DICT_transformcopy_v1.csv,phs002704
covid_test_date_mdy,Date of COVID Test Information Collection,,date,,,,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",20230607_project15_DICT_transformcopy_v1.csv,phs002704
