Id,Label,Terms,Datatype,Pattern,Unit,Enumeration,Additional Missing Value Codes,Notes
nih_record_id,User ID,,string,,,,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
nih_age,What is your age?,PATO:0000011,integer,,year,,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
nih_sex,What is your biological sex assigned at birth?,"NCIT:C124436
PATO:0000047",integer,,,"""0""=[Female] |
""1""=[Male] |
""2""=[Intersex] |
""3""=[Non-binary] |
""96""=[None of these describe me] |
""99""=[Prefer not to answer]","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
nih_asthma,Asthma,MONDO:0004979,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don't know] |
""99""=[Prefer not to answer]","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
nih_alc_sub_abuse,Alcohol or substance use disorder,"MONDO:0002494
MONDO:0021698",integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don't know] |
""99""=[Prefer not to answer]","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
nih_autoimm,Autoimmune disease,MONDO:0007179,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don't know] |
""99""=[Prefer not to answer]","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
nih_cancer_past_yr,Cancer diagnosis and/or treatment within the past 12 months,MONDO:0004992,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don't know] |
""99""=[Prefer not to answer]","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
nih_chronic_kidney_disease,Chronic kidney disease,MONDO:0005300,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don't know] |
""99""=[Prefer not to answer]","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
nih_chronic_lung,Other chronic lung disease,MONDO:0005275,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don't know] |
""99""=[Prefer not to answer]","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
nih_copd,Chronic obstructive pulmonary disease (COPD),MONDO:0005002,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don't know] |
""99""=[Prefer not to answer]","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
nih_cardiovascular_disease,Cardiovascular disease,MONDO:0004995,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don't know] |
""99""=[Prefer not to answer]","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
nih_depression,Depression,MONDO:0002050,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don't know] |
""99""=[Prefer not to answer]","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
nih_diabetes,Diabetes,MONDO:0005015,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don't know] |
""99""=[Prefer not to answer]","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
nih_hypertension,Hypertension,MONDO:0005044,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don't know] |
""99""=[Prefer not to answer]","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
nih_immunocompromised,Immunocompromised condition,HP:0002721,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don't know] |
""99""=[Prefer not to answer]","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
nih_iv_drug_use,Intravenous drug use,,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don't know] |
""99""=[Prefer not to answer]","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
nih_other_chronic_cond,Other chronic condition,NCIT:C165593,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don't know] |
""99""=[Prefer not to answer]","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
