Id,Description,Datatype,Units,Enumeration,Label,Additional Missing Value Codes,Terms,Unit,Section,ui,Notes,min,max,CDE Reference,pattern,phi_id,branching_logic,required,form_name,header,Variable Classification,Validation,Field Notes,Branching_Logic,CDE_Reference,Custom Alignment,source_file,source_directory,Program,Title,Summary,Digest (Id|source_file|source_directory)
uid,Personal identifier,string,,,,,,,,,,,,,,,,,,,,,,,,,NIH_Daily_Wellness_Survey_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub.",5b6a653f8ff12f3af2e605ec64a129b518ce398ba8819c08360a0f9b8d8745c5400694492e1e5d5ce0704fda3b343fccc6092d676803e917f44651c726e15c61
date stamp,Date and Time stamp for the survey response,date,,yyyy-mm-ddThh:mm:ss.sssZ,,,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub.",dbbe5cd1e3b4dbb76ae793e6062bfa325c0063698f9d1c008a6f8e9928e75f238a2a5569182bf3b25fa5b49d55ee5f3ccaf5f5e7afb544d07ff33b9531ed57a3
survey id,Indicates the version of the demographic consent survey offered to the participants.,categorical,,"0Ks4W000003JkezSAC;
0Ks4W000003Jkf9SAC;
0Ks4W000003JkkPSAS;
0Ks4W000003JktiSAC;
0Ks4W000003JlC0SAK;
0Ks4W000003JlCESA0;",,,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub.",072b8a35426044b31738d9c6ec2b90a4a2a93dc374e84a6d059d042aa41de16bd50c1eeaec93a656bd83e06bbf4296e287318d0a36b79f3b1828a85177760deb
survey name,"Name of the Demographic Consent Survey offered to participants. ",categorical,,WSSC Consent Survey 0.3,,,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub.",417abaa92fc9c150aa4be425b48912932544df55495fe0e7dbb456849d81ecec0382c230487664b97bc81cba9ac885c83db7c85f9527a698e474827ec82e20d9
transportation,Mode of transportation used to commute to work by participant,categorical,,"Personal vehicle, bike, walk; Carpool; Public Transportation; Varies; NA;Recode_NA","""How do you typically commute to work?""",,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub.",003951f53c2268fc2baa869e98a9cd6d80e4f2b1b1a79321f588639195f9097452a36a1f3666500721bfa4ddf987feec81badd2de9801db0b154448b34013ff8
gender,Gender of participant,categorical,,Male; Female; Intersex; None; Recode_NA,"""What is your biological sex""",,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub.",4f9ea5b8ea6243c19a4a62a16935b2a60a7b910515d2a6e76131e2978ebca12f00a5fc8ee7e3b08b199d05a892776158046d3f34f8b334671160a64b725ba6d5
weight,Weight of participant,categorical,pounds,100-150; 151-200; 201-250; over250,"""Please provide your weight""",,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub.",bd29919ca034f29ead09cc7fe02f1edc244c0193ade135308c28eac55d046d4180680ea3a23fce1ddbee95a101526be6ac6b12f3121afbba4836bad9b670462c
height,Height of participant,categorical,feet and inches,"4'5""-5'6""; 5'7"" - 6'; over 6'"," ""Please provide your height""",,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub.",caa2b938ca5d95744b8eeb7f28ae95f6b8968fd1037edb988e60da273ea2eb59028fe5a06312a4e0d634562f726a346f998c7c370a0a45bab96bbdbca99d8161
consent,"Consent to participate in the study. ",categorical,,Agree; Disagree,"""I have read (or been informed of) the information given above and agree to join by clicking on the ""Agree. I do want to participate in the study and provide my anonymous data to the NIH"" bottom below. I have been offered the opportunity to ask questions concerning this process.""",,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub.",0430dffa643199facde195537f918004177a3e3af5a82a708b8a3b43e247e8e0fba8574642b0cb329816b021b99513185ad9580671a23340229cb6c57e211be9
household_size,Number of people in the household of participant,categorical,,1; 2; 3; 4; 5 or more,"""How many people live in your household, including yourself?""",,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub.",2f9e8a112c35b0f293807f2dfb6282bc7e0a5b719edb30bb51cd8208a58b7e4da00f291882f25bc7b6f158292ceabae3bc54ae406326389c73e720c773429727
